betaP, Volume Fraction
1.000000000000000056e-01,2.655269947133683250e-01
1.000000000000000056e-01,1.998862561957874817e-01
1.000000000000000056e-01,1.681358896057819352e-01
1.000000000000000056e-01,1.342927734249641791e-01
1.000000000000000056e-01,1.285190845871707899e-01
1.000000000000000056e-01,1.217828512502749927e-01
1.000000000000000056e-01,1.119793433929535259e-01
1.000000000000000056e-01,1.111159538830279458e-01
1.000000000000000056e-01,1.036577112807280515e-01
1.000000000000000056e-01,1.013448403344077708e-01
1.000000000000000056e-01,1.095965393386576642e-01
1.000000000000000056e-01,1.121168455549865356e-01
1.000000000000000056e-01,9.946077244280671081e-02
1.000000000000000056e-01,1.008304198174718586e-01
1.000000000000000056e-01,1.014109203464174103e-01
1.000000000000000056e-01,9.017610991701886791e-02
1.000000000000000056e-01,9.188429535556801031e-02
1.000000000000000056e-01,8.772314585256062169e-02
1.000000000000000056e-01,9.035317473216537831e-02
1.000000000000000056e-01,9.196296274963360051e-02
1.000000000000000056e-01,8.787151107498590574e-02
1.000000000000000056e-01,8.298006654668366178e-02
1.000000000000000056e-01,8.041064532465704018e-02
1.000000000000000056e-01,7.944937603004006976e-02
1.000000000000000056e-01,8.033441703200558393e-02
1.000000000000000056e-01,7.835352966443590028e-02
1.000000000000000056e-01,7.665271090173564339e-02
1.000000000000000056e-01,7.593081750862830381e-02
1.000000000000000056e-01,7.692735124121191648e-02
1.000000000000000056e-01,7.969841657807587298e-02
1.000000000000000056e-01,8.400296307337398738e-02
1.000000000000000056e-01,8.657267069145778426e-02
1.000000000000000056e-01,8.638567116911016752e-02
1.000000000000000056e-01,8.052866805593716926e-02
1.000000000000000056e-01,7.893809110658316086e-02
1.000000000000000056e-01,7.311089760962698192e-02
1.000000000000000056e-01,7.023592469929787474e-02
1.000000000000000056e-01,6.914250572675773032e-02
1.000000000000000056e-01,6.849843573657417306e-02
1.000000000000000056e-01,6.989193041993402300e-02
1.000000000000000056e-01,7.272056452190238385e-02
1.000000000000000056e-01,6.949139780148025358e-02
1.000000000000000056e-01,7.190800400074934262e-02
1.000000000000000056e-01,7.017823907725569132e-02
1.000000000000000056e-01,7.014387908792332760e-02
1.000000000000000056e-01,6.563892482648013560e-02
1.000000000000000056e-01,6.726484530504936443e-02
1.000000000000000056e-01,6.313910002703311541e-02
1.000000000000000056e-01,6.780873369726772570e-02
1.000000000000000056e-01,6.458882568723020579e-02
1.000000000000000056e-01,6.470087996579106104e-02
1.000000000000000056e-01,6.606972798590365903e-02
1.000000000000000056e-01,6.466318792362335532e-02
1.000000000000000056e-01,6.193861862319603728e-02
1.000000000000000056e-01,6.112614031760305738e-02
1.000000000000000056e-01,6.327275243715006769e-02
1.000000000000000056e-01,6.371108869377092865e-02
1.000000000000000056e-01,6.526258898715321666e-02
1.000000000000000056e-01,6.512040956882092502e-02
1.000000000000000056e-01,6.918559993198888924e-02
1.000000000000000056e-01,6.888030031108800799e-02
1.000000000000000056e-01,6.566835336328093187e-02
1.000000000000000056e-01,6.272650273154480038e-02
1.000000000000000056e-01,6.248638223859760699e-02
1.000000000000000056e-01,6.129259130783792225e-02
1.000000000000000056e-01,6.020526391252099818e-02
1.000000000000000056e-01,6.039498452287298674e-02
1.000000000000000056e-01,6.058998528077016998e-02
1.000000000000000056e-01,6.536890694138786095e-02
1.000000000000000056e-01,5.883406688343066626e-02
1.000000000000000056e-01,6.019779538532576968e-02
1.000000000000000056e-01,5.683663365837297865e-02
1.000000000000000056e-01,5.463827198143077213e-02
1.000000000000000056e-01,5.548663976798377806e-02
1.000000000000000056e-01,5.694009299127938961e-02
1.000000000000000056e-01,5.803840787530269163e-02
1.000000000000000056e-01,5.532148893058944084e-02
1.000000000000000056e-01,5.532753888404499248e-02
1.000000000000000056e-01,5.557127856511365899e-02
1.000000000000000056e-01,5.273590295686553936e-02
1.000000000000000056e-01,5.393450852714946203e-02
1.000000000000000056e-01,5.465154801080596148e-02
1.000000000000000056e-01,5.424611007691504394e-02
1.000000000000000056e-01,5.244359196833144748e-02
1.000000000000000056e-01,5.384396489962393201e-02
1.000000000000000056e-01,5.379738162073800095e-02
1.000000000000000056e-01,5.149392077431785147e-02
1.000000000000000056e-01,5.274244075302701729e-02
1.000000000000000056e-01,5.337932076603968401e-02
1.000000000000000056e-01,5.463991018429559948e-02
1.000000000000000056e-01,5.195060533585846990e-02
1.000000000000000056e-01,5.298587304517091839e-02
1.000000000000000056e-01,5.044674946643575714e-02
1.000000000000000056e-01,4.855873707583362869e-02
1.000000000000000056e-01,4.949067787594337020e-02
1.000000000000000056e-01,4.865297388170660570e-02
1.000000000000000056e-01,5.023769215592851362e-02
1.000000000000000056e-01,5.008597799252410832e-02
1.000000000000000056e-01,4.961060021280456339e-02
1.000000000000000056e-01,4.880523199995392275e-02
1.000000000000000056e-01,5.027079037282544682e-02
1.000000000000000056e-01,5.051800609360898586e-02
1.000000000000000056e-01,4.963222719548048695e-02
1.000000000000000056e-01,5.279123177022068680e-02
1.000000000000000056e-01,5.403759916902925453e-02
1.000000000000000056e-01,5.304171832085246424e-02
1.000000000000000056e-01,5.127581978767733334e-02
1.000000000000000056e-01,5.077937957086534060e-02
1.000000000000000056e-01,5.133070152994064633e-02
1.000000000000000056e-01,5.051241199720292452e-02
1.000000000000000056e-01,5.159000914945094385e-02
1.000000000000000056e-01,5.205502984709194786e-02
1.000000000000000056e-01,5.380231765193468213e-02
1.000000000000000056e-01,5.613192458524716294e-02
1.000000000000000056e-01,5.845698201135516442e-02
1.000000000000000056e-01,5.618095858393721415e-02
1.000000000000000056e-01,5.611902137433864846e-02
1.000000000000000056e-01,5.382716163607773746e-02
1.000000000000000056e-01,5.450522748101181009e-02
1.000000000000000056e-01,5.628423667196175151e-02
1.000000000000000056e-01,5.593310757095653479e-02
1.000000000000000056e-01,5.599925953252118949e-02
1.000000000000000056e-01,5.822885934676015618e-02
1.000000000000000056e-01,5.762995418614475646e-02
1.000000000000000056e-01,6.110483437543615115e-02
1.000000000000000056e-01,6.151821573611426786e-02
1.000000000000000056e-01,6.165378991414691839e-02
1.000000000000000056e-01,6.141683617911551651e-02
1.000000000000000056e-01,5.929623780693339674e-02
1.000000000000000056e-01,6.100722759194135425e-02
1.000000000000000056e-01,6.362591378593281111e-02
1.000000000000000056e-01,6.651786763335290620e-02
1.000000000000000056e-01,6.669233566118218381e-02
1.000000000000000056e-01,6.705392630709283708e-02
1.000000000000000056e-01,7.059809187208648806e-02
1.000000000000000056e-01,7.074010967122880411e-02
1.000000000000000056e-01,6.924699793303103201e-02
1.000000000000000056e-01,6.822380369707456427e-02
1.000000000000000056e-01,6.572660455272175128e-02
1.000000000000000056e-01,6.521711751866882123e-02
1.000000000000000056e-01,6.814302247032126558e-02
1.000000000000000056e-01,7.066552007010688807e-02
1.000000000000000056e-01,7.043266782352225475e-02
1.000000000000000056e-01,7.149294833241198743e-02
1.000000000000000056e-01,7.400065796873601942e-02
1.000000000000000056e-01,7.715869560040972130e-02
1.000000000000000056e-01,8.080691333230204110e-02
1.000000000000000056e-01,8.367186735726396540e-02
1.000000000000000056e-01,8.511182684598307679e-02
1.000000000000000056e-01,8.622651570653261377e-02
1.000000000000000056e-01,8.230263490910770530e-02
1.000000000000000056e-01,7.804147403130079486e-02
1.000000000000000056e-01,7.474640410801693113e-02
1.000000000000000056e-01,7.113418474041979800e-02
1.000000000000000056e-01,7.098534164676856273e-02
1.000000000000000056e-01,7.199235532011634409e-02
1.000000000000000056e-01,7.376747329332898617e-02
1.000000000000000056e-01,7.248589044171183104e-02
1.000000000000000056e-01,7.136747906432223953e-02
1.000000000000000056e-01,7.016200502393170335e-02
1.000000000000000056e-01,7.051627286743382406e-02
1.000000000000000056e-01,7.310170228381628055e-02
1.000000000000000056e-01,6.722570169430512610e-02
1.000000000000000056e-01,6.433645186724495924e-02
1.000000000000000056e-01,6.433824921035867506e-02
1.000000000000000056e-01,5.992004087285271452e-02
1.000000000000000056e-01,5.833062730269747420e-02
1.000000000000000056e-01,5.807640557244005131e-02
1.000000000000000056e-01,5.583098127567406171e-02
1.000000000000000056e-01,5.921030643792125209e-02
1.000000000000000056e-01,5.797629613040735513e-02
